,property_id,lat,lng,addr_street,suburb,price,year,property_type,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
0,20160.0,-37.7981,144.973452,37 Elgin Street,CARLTON,5922000.0,2011.0,house,2.0,2.0,0.0,SC_008,1562.9,19843,1442.79,4.81,0,hospital_188,716.88,S_200,394.77
1,19829.0,-37.673654,144.8967,7 Wilton Place,ATTWOOD,3960000.0,2010.0,house,3.0,2.0,0.0,SC_059,1922.96,20030,2273.54,36.88,0,hospital_104,3301.31,S_153,2253.01
2,53731.0,-37.823257,144.993291,73 Tanner Street,RICHMOND,2790000.0,2014.0,house,3.0,1.0,1.0,SC_068,2101.54,19908,289.6,10.82,0,hospital_146,616.04,S_076,1533.3
3,5538.0,-37.79158,144.851363,16 Beachley Street,BRAYBROOK,3770000.0,2013.0,house,3.0,1.0,0.0,SC_043,922.05,20022,1329.31,21.6,0,hospital_174,2266.57,S_149,922.14
4,64583.0,-37.81044388,145.2870026,5 Kaneira Avenue,CROYDON,5648000.0,2009.0,house,2.0,1.0,1.0,SC_022,1310.68,19878,1762.95,50.64,0,hospital_164,2778.57,S_055,1196.7
5,47744.0,-37.80452728,145.0369568,104/1 Derby Street,KEW,3000000.0,2009.0,house,1.0,1.0,1.0,SC_083,1778.55,19904,1886.21,20.46,0,hospital_064,1100.58,S_039,548.87
6,95202.0,-37.926224,145.030907,22 Mcarthur Street,BENTLEIGH,10114000.0,2011.0,house,2.0,1.0,2.0,SC_046,1615.63,19938,418.15,39.42,0,hospital_110,919.32,S_107,1233.55
7,5494.0,-37.781726,144.849879,13 Burnett Avenue,BRAYBROOK,7350000.0,2010.0,house,4.0,2.0,2.0,SC_102,1436.24,20021,1676.81,25.67,0,hospital_174,1591.66,S_080,1476.57
8,47260.0,-37.708801,145.173989,5 Crowe Court,ELTHAM,8904000.0,2014.0,house,3.0,2.0,2.0,SC_051,4107.68,19987,2364.21,44.0,0,hospital_075,6013.3,S_194,1568.03
9,9977.0,-37.792543,144.930779,113 Eastwood Street,KENSINGTON,15960000.0,2015.0,house,3.0,2.0,1.0,SC_011,1714.03,20041,139.53,13.88,0,hospital_114,233.53,S_086,649.39
10,52466.0,-37.823058,144.990245,16a Tanner Street,RICHMOND,18960000.0,2015.0,house,3.0,3.0,2.0,SC_068,1855.94,19908,113.37,10.82,0,hospital_146,642.65,S_076,1569.57
11,7340.0,-37.730941,144.824175,22a Bundeena Avenue,KEALBA,5100000.0,2013.0,house,3.0,2.0,1.0,SC_107,1531.79,20002,2628.95,33.06,0,hospital_005,3388.76,S_222,1808.73
12,31165.0,-37.760373,144.992648,341 St Georges Road,THORNBURY,5120000.0,2010.0,house,3.0,1.0,0.0,SC_103,2454.73,20015,568.07,21.0,0,hospital_035,1366.99,S_105,1416.57
13,50861.0,-37.789649,145.138992,16 Burilla Avenue,DONCASTER,9900000.0,2015.0,house,3.0,1.0,3.0,SC_091,1178.88,19897,3468.7,35.42,0,hospital_194,2770.28,S_188,1351.43
14,41837.0,-37.73815536,145.071167,20 St. Andrews Avenue,ROSANNA,1100000.0,2009.0,house,3.0,3.0,3.0,SC_017,1973.78,19936,687.2,27.94,0,hospital_066,2074.63,S_100,2350.64
15,65050.0,-37.810772,145.313352,1/25 Graham Avenue,KILSYTH,16949000.0,2011.0,house,3.0,1.0,1.0,SC_022,2963.41,19877,2898.03,54.5,0,hospital_164,5090.86,S_224,996.5
16,44994.0,-37.695894,145.113044,39 Somerleigh Cres,GREENSBOROUGH,10965000.0,2014.0,house,4.0,2.0,2.0,SC_051,4799.55,19985,991.71,37.87,0,hospital_075,1206.9,S_210,1222.93
17,96079.0,-37.904972,145.050946,627 North Road,ORMOND,11500000.0,2013.0,house,4.0,2.0,2.0,SC_041,2350.62,19941,1014.49,35.5,0,hospital_159,2374.36,S_107,1797.07
18,53218.0,-37.811743,145.007104,4 Leslie Street,RICHMOND,10934000.0,2010.0,house,3.0,1.0,2.0,SC_083,2686.63,19977,1293.01,7.76,0,hospital_134,277.98,S_076,1041.44
19,15443.0,-37.726566,144.913788,67-69 Lebanon Street,STRATHMORE,2936000.0,2014.0,house,3.0,1.0,0.0,SC_082,1097.79,20033,1176.14,30.88,0,hospital_184,1912.09,S_198,1602.26
20,88814.0,-37.948436,145.028736,35 Gilarth Street,HIGHETT,7380000.0,2013.0,house,2.0,1.0,1.0,SC_079,1085.63,19872,1153.07,39.58,0,hospital_058,1695.48,S_214,670.35
21,81265.0,-37.980612,145.218832,4/28 Olive street,DANDENONG,3080000.0,2014.0,house,2.0,1.0,1.0,SC_112,793.01,19888,1312.65,53.82,0,hospital_033,501.64,S_183,501.06
22,66794.0,-37.781368,145.308661,Lot 1/27 Neville Street,MOOROOLBARK,4020000.0,2016.0,house,3.0,1.0,1.0,SC_084,2625.88,19877,499.98,54.5,0,hospital_113,4596.99,S_224,2317.05
23,74043.0,-37.857609,145.255536,83  KANOOKA ROAD,BORONIA,5434000.0,2011.0,house,3.0,1.0,2.0,SC_032,5518.22,19870,2085.93,49.91,0,hospital_002,1136.81,S_139,1910.89
24,79429.0,-37.937751,145.167661,9 Marlene Court,SPRINGVALE,6132000.0,2011.0,house,3.0,1.0,1.0,SC_073,3855.8,19913,1808.04,43.96,0,hospital_124,3865.63,S_067,1838.86
25,65643.0,-37.77040863,145.3283844,105 Landscape Drive,MOOROOLBARK,3760000.0,2009.0,house,4.0,2.0,2.0,SC_084,1865.26,19877,2127.32,54.5,0,hospital_113,2505.83,S_168,1530.05
26,79634.0,-38.004017,145.159616,13 Keylana Drive,KEYSBOROUGH,7740000.0,2009.0,house,4.0,2.0,2.0,SC_057,1739.94,19889,4012.2,50.57,0,hospital_096,1528.19,S_079,1659.28
27,2865.0,-37.812062,144.884028,15 Agnes Street,YARRAVILLE,8025000.0,2011.0,house,2.0,1.0,2.0,SC_043,2849.59,19996,669.01,15.55,0,hospital_056,2115.84,S_201,1760.31
28,42172.0,-37.747252,145.063386,38 St James Road,HEIDELBERG,14080000.0,2016.0,house,4.0,2.0,2.0,SC_017,1049.85,19936,543.86,27.94,0,hospital_066,901.63,S_100,1398.04
29,67760.0,-37.76723862,145.3689117,9 Opal Court,LILYDALE,6465000.0,2008.0,house,3.0,2.0,2.0,SC_084,4942.81,19876,2276.74,59.67,0,hospital_113,1373.76,S_081,1885.66
30,60563.0,-37.83818,145.196185,2 Kingsclere Street,VERMONT,11985000.0,2015.0,house,3.0,1.0,2.0,SC_088,2556.92,19900,2275.61,39.5,0,hospital_008,2970.15,S_202,2367.39
31,31233.0,-37.75523376,145.0042114,40 Collins Street,THORNBURY,3276000.0,2008.0,house,3.0,1.0,1.0,SC_103,1753.42,20014,496.79,23.0,0,hospital_035,912.51,S_105,466.24
32,48045.0,-37.807071,145.053427,2 Downton Grove,KEW,17550000.0,2012.0,house,4.0,2.0,2.0,SC_099,1964.94,19903,1831.89,22.88,0,hospital_064,485.35,S_137,1844.88
33,9939.0,-37.792127,144.931647,107 Rankins Road,KENSINGTON,9894000.0,2014.0,house,1.0,1.0,0.0,SC_011,1742.93,20041,208.85,13.88,0,hospital_114,299.56,S_086,642.9
34,64452.0,-37.796021,145.289882,4/276 Dorset Road,CROYDON,1950000.0,2015.0,house,1.0,1.0,1.0,SC_022,688.77,19878,819.25,50.64,0,hospital_164,3286.92,S_055,759.8
35,75504.0,-37.896383,145.054871,87A Morgan Street,CARNEGIE,10621000.0,2008.0,house,3.0,2.0,1.0,SC_041,1336.83,19920,1174.89,27.89,0,hospital_159,3059.73,S_015,977.9
36,10902.0,-37.79209518,144.9203796,80 Stockmans Way,KENSINGTON,5440000.0,2008.0,house,3.0,2.0,2.0,SC_011,1143.84,20041,911.9,13.88,0,hospital_114,919.88,S_086,857.3
